,A24F,B60L,C01B,C01D,C01F,C01G,C03C,C04B,C08F,C08G,C08J,C08K,C08L,G01R,H01B,H01G,H01M,H02J,H05B
A24F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010053619302949,0.0015080428954423,0.0035606568364611,0.0023877345844504
B60L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007288873994638,0.0038957774798927,0.0
C01B,0.0,0.0,0.0,0.0030579758713136,0.0019269436997319,0.007330764075067,0.0017174932975871,0.0033093163538873,0.0,0.0,0.0,0.0,0.0,0.0,0.0187248659517426,0.0015080428954423,0.0534517426273458,0.0,0.0
C01D,0.0,0.0,0.0030579758713136,0.0,0.0,0.0015918230563002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014661528150134,0.0,0.0081685656836461,0.0,0.0
C01F,0.0,0.0,0.0019269436997319,0.0,0.0,0.0035606568364611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044822386058981,0.0,0.0084199061662198,0.0,0.0
C01G,0.0,0.0,0.007330764075067,0.0015918230563002,0.0035606568364611,0.0,0.0,0.0051524798927613,0.0,0.0,0.0,0.0,0.0,0.0,0.0080847855227882,0.0,0.0387483243967828,0.0,0.0
C03C,0.0,0.0,0.0017174932975871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040214477211796,0.0,0.0097184986595174,0.0,0.0
C04B,0.0,0.0,0.0033093163538873,0.0,0.0,0.0051524798927613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064929624664879,0.0,0.0176776139410187,0.0,0.0
C08F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012985924932975,0.0012567024128686,0.0029741957104557,0.0042308981233243,0.0,0.0015499329758713,0.0012567024128686,0.0113941018766756,0.0,0.0
C08G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012985924932975,0.0,0.0015499329758713,0.0,0.0020107238605898,0.0,0.0015499329758713,0.0,0.0084199061662198,0.0,0.0
C08J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012567024128686,0.0015499329758713,0.0,0.0016756032171581,0.0031836461126005,0.0,0.0012567024128686,0.0,0.0062835120643431,0.0,0.0
C08K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029741957104557,0.0,0.0016756032171581,0.0,0.0057389410187667,0.0,0.0016337131367292,0.0014661528150134,0.0049011394101876,0.0,0.0
C08L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042308981233243,0.0020107238605898,0.0031836461126005,0.0057389410187667,0.0,0.0,0.0029741957104557,0.0020526139410187,0.0092577077747989,0.0,0.0
G01R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082942359249329,0.0037701072386058,0.0
H01B,0.0,0.0,0.0187248659517426,0.0014661528150134,0.0044822386058981,0.0080847855227882,0.0040214477211796,0.0064929624664879,0.0015499329758713,0.0015499329758713,0.0012567024128686,0.0016337131367292,0.0029741957104557,0.0,0.0,0.0022620643431635,0.0719252680965147,0.0,0.0
H01G,0.0010053619302949,0.0,0.0015080428954423,0.0,0.0,0.0,0.0,0.0,0.0012567024128686,0.0,0.0,0.0014661528150134,0.0020526139410187,0.0,0.0022620643431635,0.0,0.0299095174262734,0.0,0.0
H01M,0.0015080428954423,0.007288873994638,0.0534517426273458,0.0081685656836461,0.0084199061662198,0.0387483243967828,0.0097184986595174,0.0176776139410187,0.0113941018766756,0.0084199061662198,0.0062835120643431,0.0049011394101876,0.0092577077747989,0.0082942359249329,0.0719252680965147,0.0299095174262734,0.0,0.0149128686327077,0.0014242627345844
H02J,0.0035606568364611,0.0038957774798927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037701072386058,0.0,0.0,0.0149128686327077,0.0,0.001759383378016
H05B,0.0023877345844504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014242627345844,0.001759383378016,0.0
